date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:28:01	1053/1053	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2012%20Jul%202018%2016:27:59%20GMT	http://localhost/robots.txt		(from )
22:28:03	79288/79288	---MC-	200	added ('OK')	text/html	date:Thu,%2012%20Jul%202018%2016:27:59%20GMT	http://localhost/dada/	C:/My%20Web%20Sites/first%20site/localhost/dada/index.html	(from )
22:28:03	5430/5430	---M--	200	added ('OK')	image/x-icon	etag:%221536-54da6492ab9c0%22	http://localhost/dada/wp-content/themes/betheme/images/favicon.ico	C:/My%20Web%20Sites/first%20site/localhost/dada/wp-content/themes/betheme/images/favicon.ico	(from http://localhost/dada/)
22:28:05	1/1	---M--	400	error ('Bad%20Request')	text/html	date:Thu,%2012%20Jul%202018%2016:28:03%20GMT	http://localhost/dada/wp-admin/admin-ajax.php	C:/My%20Web%20Sites/first%20site/localhost/dada/wp-admin/admin-ajax.php	(from http://localhost/dada/)
22:28:05	1743/1743	---M--	200	added ('OK')	text/css	etag:%226cf-570cf0d542b5f%22	http://localhost/dada/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.0.3	C:/My%20Web%20Sites/first%20site/localhost/dada/wp-content/plugins/contact-form-7/includes/css/styles.2aead.delayed	(from http://localhost/dada/)
22:28:08	3504/3504	---M--	200	added ('OK')	application/rss+xml	etag:%22ad83763b1bd0fb9112baa5ef86091568%22	http://localhost/dada/comments/feed/	C:/My%20Web%20Sites/first%20site/localhost/dada/comments/feed/index.html	(from http://localhost/dada/)
22:28:09	726/726	---M--	200	added ('OK')	application/rss+xml	etag:%22ad83763b1bd0fb9112baa5ef86091568%22	http://localhost/dada/sample-page-2/feed/	C:/My%20Web%20Sites/first%20site/localhost/dada/sample-page-2/feed/index.html	(from http://localhost/dada/)
22:28:09	282/282	---M--	200	added ('OK')	text/css	etag:%2211a-54da6492ab9c0%22	http://localhost/dada/wp-content/themes/betheme/style.css?ver=17.8	C:/My%20Web%20Sites/first%20site/localhost/dada/wp-content/themes/betheme/style4d75.css	(from http://localhost/dada/)
22:28:09	21141/21141	---MC-	200	added ('OK')	application/rss+xml	etag:%22953eb2ddb62ad4b2fdecf8c0a29c13ef%22	http://localhost/dada/feed/	C:/My%20Web%20Sites/first%20site/localhost/dada/feed/index.html	(from http://localhost/dada/)
22:28:09	52015/52015	---M--	200	added ('OK')	text/css	etag:%22cb2f-54da6492ab9c0%22	http://localhost/dada/wp-content/themes/betheme/css/base.css?ver=17.8	C:/My%20Web%20Sites/first%20site/localhost/dada/wp-content/themes/betheme/css/base4d75.css	(from http://localhost/dada/)
